Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Male,Age_all,[All],1.00000000,0.44642857,0.00000000,3.10491508,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Male,Age_all,[All],3.00000000,1.38248848,13.71336305,9.97373583,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Male,Age_all,[All],3.00000000,1.25000000,15.47819362,10.06441224,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,Male,Age_all,[All],1.00000000,0.48780488,3.23027719,3.29880583,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age_all,[All],2.00000000,0.40733198,5.69524360,3.20682412,
EU,Europe,ALB,Albania,1987,Male,Age_all,[All],33.00000000,0.34246575,3.36810889,2.08307032,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CSA,Central and South America,ARG,Argentina,1968,All,Age_all,[All],3515.00000000,1.64781331,15.85793808,15.20854967,
CSA,Central and South America,ARG,Argentina,1968,Male,Age_all,[All],2205.00000000,1.74585705,20.26237822,18.96774194,
CSA,Central and South America,ARG,Argentina,1968,Female,Age_all,[All],1310.00000000,1.50550486,11.67389480,11.40419605,
CSA,Central and South America,ARG,Argentina,1969,All,Age_all,[All],3410.00000000,1.52774355,15.09588406,14.55523305,
CSA,Central and South America,ARG,Argentina,1969,Male,Age_all,[All],2152.00000000,1.62101901,19.45647500,18.27756073,
CSA,Central and South America,ARG,Argentina,1970,Female,Age_all,[All],1100.00000000,1.20311936,9.34752602,9.20271062,
CSA,Central and South America,ARG,Argentina,1967,Male,Age_all,[All],1772.00000000,1.61531449,16.83812958,15.43688475,
CSA,Central and South America,ARG,Argentina,1967,Female,Age_all,[All],970.00000000,1.29435156,8.91972029,8.56814769,
CSA,Central and South America,ARG,Argentina,1970,Male,Age_all,[All],2043.00000000,1.56282272,18.59896608,17.32236731,
CSA,Central and South America,ARG,Argentina,1977,All,Age_all,[All],2239.00000000,0.93726322,8.40629407,8.32032702,
CSA,Central and South America,ARG,Argentina,1977,Male,Age_all,[All],1520.00000000,1.09474594,11.80536428,11.28852581,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CSA,Central and South America,ARG,Argentina,1966,Male,Age_all,[All],1520.00000000,1.66699568,14.56429983,13.41215918,
CSA,Central and South America,ARG,Argentina,1966,Female,Age_all,[All],886.00000000,1.41283028,8.22948097,7.94262662,
